PROD_SKU	BRAND_NAME	VEND_STREET	PROD_DESCRIPT	PROD_TYPE	VEND_NAME	PROD_CATEGORY	VEND_STATE	BRAND_TYPE	VEND_CITY	PROD_PRICE	BRAND_ID	VEND_ID	PROD_QOH	VEND_ZIP	PROD_MIN	PROD_BASE			
2129-BCP	LE MODE	1618 CARIN PLACE	"Dry Fall, Alkyd, Flat"	Interior	National Solubles Partners	Top Coat	NC	PREMIUM	Newport	7.99	35	16	94	28570	35	Solvent			
2134-QFE	FORESTERS BEST	1777 EASTWIND COURT	"Varnish, with UV Inhibitor, Exterior, Semi-Gloss (MPI Gloss Level 5)"	Exterior	Pine Hill Chemical Warehouse	Top Coat	PA	VALUE	Pine Hill	15.89	23	6	34	17901	25	Solvent			
2143-VQX	LE MODE	527 ELDERBERRY STREET	"Alkyd, Quick Dry, Gloss"	Interior	Irvington Wholesale Workshop	Top Coat	KY	PREMIUM	Irvington	17.99	35	20	8	40146	10	Solvent			
2200-DAI	VALU-MATTE	527 ELDERBERRY STREET	"Primer Sealer, Low Permeability, Latex, Interior"	Interior	Irvington Wholesale Workshop	Primer	KY	VALUE	Irvington	7.59	31	20	66	40146	5	Water			
2212-MNF	HOME COMFORT	1492 AUSTIN AVENUE	"Varnish, Exterior, Water Based, (Gloss) MPI Gloss Level 6"	Exterior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	13.39	27	21	131	22625	40	Water			
2217-JOH	BUSTERS	1618 CARIN PLACE	"Dry Fall, Alkyd, ('eggshell-like' - MPI Gloss Level 3)"	Interior	National Solubles Partners	Top Coat	NC	VALUE	Newport	13.59	29	16	43	28570	5	Solvent			
2231-OXK	LE MODE	632 GLENN NB ON MULDOON RAMP	"Primer, Vinyl Wash"	Interior	Watkins Wholesale Warehouse	Primer	MA	PREMIUM	Westfield	7.59	35	14	68	1086	5	Solvent			
2233-GJH?	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Light Industrial Coating, Exterior, Water Based, Gloss (MPI Gloss Level 6)"	Exterior	Rivera Decor Partners	Top Coat	MI	PREMIUM	Orchard Lake	23.29	33	22	41	48324	25	Water			
2262-NBI	VALU-MATTE	200 AERO AVENUE	"Vinyl, High Build"	Interior	Boykin Chemical Workshop	Top Coat	VA	VALUE	Arlington	17.99	31	13	113	22218	5	Solvent			
2351-WVS	LONG HAUL	454 WINDJAMMER CIRCLE	"Latex, Interior, Institutional Low Odor/VOC, ('satin-like' - MPI Gloss Level 4) "	Interior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	29.99	30	15	89	44866	5	Water			
2366-EFV	LONG HAUL	454 WINDJAMMER CIRCLE	"Varnish, Interior, Polyurethane, Oil Modified, Gloss"	Interior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	6.59	30	15	3	44866	25	Solvent			
2379-PCX	STUTTENFURST	1105 OLSON CIRCLE	"Latex, Interior, ('satin-like' - MPI Gloss Level 4)"	Interior	Leal Decor Workshop	Top Coat	PA	CONTRACTOR	Lake Lynn	13.59	25	3	77	15439	15	Water			
2384-PGY	LONG HAUL	454 WINDJAMMER CIRCLE	"Epoxy, High Build, Self Priming, Low Gloss"	Exterior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	29.99	30	15	133	44866	35	Solvent			
2397-RDX	LONG HAUL	454 WINDJAMMER CIRCLE	"Light Industrial Coating, Interior, Water Based, Gloss (MPI Gloss Level 6)"	Interior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	15.59	30	15	6	44866	10	Water			
2407-SUX	FORESTERS BEST	222 SEWARD 34TH RAMP	"Dry Fall, Latex, Flat"	Interior	Baltimore Paints Consolidated	Top Coat	MD	VALUE	Baltimore	9.89	23	8	143	21222	15	Water			
2410-SKH	HOME COMFORT	1492 AUSTIN AVENUE	"Polyurethane, Two-Component, Pigmented, Gloss (MPI Gloss Level 6)"	Interior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	4.29	27	21	26	22625	20	Solvent			
2455-ZKN	HOME COMFORT	1492 AUSTIN AVENUE	"Primer, Epoxy, Water Based, Anti-Corrosive, for Metal"	Exterior	Internation Solvents of Virginia	Primer	VA	CONTRACTOR	Cross Jct	38.99	27	21	86	22625	15	Water			
2496-QMW	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Latex, Recycled (Remanufactured), Exterior, Low Sheen (G 3-4)"	Exterior	Rivera Decor Partners	Top Coat	MI	PREMIUM	Orchard Lake	38.99	33	22	95	48324	35	Water			
2553-FSW	LONG HAUL	454 WINDJAMMER CIRCLE	"Dry Fall, Water Based, for Galvanized Steel, MPI Gloss Level 5"	Interior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	20.59	30	15	70	44866	25	Water			
2584-CIJ	LONG HAUL		"Stain, for Exterior Wood Decks"	Exterior		Top Coat	OH	CONTRACTOR	Rowsburg	12.39	30	15	17	44866	10	Solvent			
2611-QYG	BUSTERS	355 WILDWOOD DRIVE	"Primer, Alkali Resistant, Solvent Based"	Interior	International Decor Partners	Primer	FL	VALUE	South Miami	31.99	29	12	81	33143	5	Solvent			
2699-GNS	HOME COMFORT	1492 AUSTIN AVENUE	"Top-Coat for Multicolored Coating, Clear"	Interior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	35.99	27	21	59	22625	40	Water			
2756-CKP	OLDE TYME QUALITY	200 AERO AVENUE	"Alkyd, Interior, ('eggshell-like' - MPI Gloss Level 3) "	Interior	Boykin Chemical Workshop	Top Coat	VA	CONTRACTOR	Arlington	9.99	28	13	10	22218	40	Solvent			
2766-EYO	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Aluminum Paint, High Heat (up to 590° C/1100° F)"	Exterior	Rivera Decor Partners	Top Coat	MI	PREMIUM	Orchard Lake	32.99	33	22	20	48324	10	Solvent			
2833-LIV	LE MODE	1105 OLSON CIRCLE	"Primer, Stain Blocking"	Exterior	Leal Decor Workshop	Primer	PA	PREMIUM	Lake Lynn	32.99	35	3	129	15439	15	Solvent			
2857-NDO	OLDE TYME QUALITY	1618 CARIN PLACE	"Primer, Stain Blocking"	Interior	National Solubles Partners	Primer	NC	CONTRACTOR	Newport	32.99	28	16	87	28570	40	Solvent			
2866-RAM	LONG HAUL	454 WINDJAMMER CIRCLE	"Aluminum Paint, Heat Resistant (Up to 427°C - 800°F)"	Interior	Unlimited Wholesale of Ohio	Top Coat	OH	CONTRACTOR	Rowsburg	18.99	30	15	19	44866	10	Solvent			
2870-QZR	BUSTERS		"Floor Coating, Thin Film, for Aircraft Maintenance Facilities"	Interior		Top Coat	OH	VALUE	Rowsburg	32.99	29	15	121	44866	15	Solvent			
2896-OZJ	FORESTERS BEST	1185 BIGLERVILLE CIRCLE	"Water Repellant, Clear (Not Paintable)"	Exterior	National Wholesale Consolidated	Top Coat	VT	VALUE	Sweek Hollow	23.99	23	5	70	5483	5	Solvent			
2918-THH	FORESTERS BEST	377 LONGHORN STREET	"Alkyd, Exterior Flat (MPI Gloss Level 1)"	Exterior	Warren Paints Consolidated	Top Coat	VT	VALUE	Beebe Plain	10.99	23	2	127	5823	15	Solvent			
2932-PBS	LE MODE	1174 SPRUCEWOOD STREET	"Varnish, Interior, Flat "	Interior	Ledbetter Chemical of Vermont	Top Coat	VT	PREMIUM	Brimstone Corners	13.59	35	18	61	5761	15	Solvent			
2990-BNH	VALU-MATTE	632 GLENN NB ON MULDOON RAMP	"Polyurethane, Moisture Cured, Pigmented, Semi-Gloss (MPI Gloss Level 5)"	Exterior	Watkins Wholesale Warehouse	Top Coat	MA	VALUE	Westfield	16.99	31	14	139	1086	20	Solvent			
2996-VMO	HOME COMFORT	1492 AUSTIN AVENUE	Multicolor Coating	Interior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	23.59	27	21	32	22625	25	Solvent			
3035-NHD	BUSTERS	1185 BIGLERVILLE CIRCLE	"Primer, Galvanized, Non-Cementitious"	Exterior	National Wholesale Consolidated	Primer	VT	VALUE	Sweek Hollow	15.69	29	5	37	5483	30	Solvent			
3036-PCT	STUTTENFURST	1286 RICHARD EVELYN BYRD STREET	"Sealer, for Knots"	Exterior	Kenny Paints Workshop	Sealer	MI	CONTRACTOR	Grand Ledge	3.99	25	7	65	48837	5	Solvent			
3061-DOI	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Primer, Bonding, Solvent Based"	Interior	Rivera Decor Partners	Primer	MI	PREMIUM	Orchard Lake	5.59	33	22	?100	48324	15	Solvent			
3079-DEG	LE MODE	200 AERO AVENUE	"Primer, Zinc Rich, Inorganic"	Exterior	Boykin Chemical Workshop	Primer	VA	PREMIUM	Arlington	8.99	35	13	28	22218	25	Solvent			
3161-XJS	BUSTERS	1174 SPRUCEWOOD STREET	"Latex, Recycled (Remanufactured), Exterior Flat (G1)"	Exterior	Ledbetter Chemical of Vermont	Top Coat	VT	VALUE	Brimstone Corners	38.99	29	18	61	5761	5	Water			
3215-VIP	LE MODE	222 SEWARD 34TH RAMP	"Top-Coat for Multicolored Coating, Clear"	Interior	Baltimore Paints Consolidated	Top Coat	MD	PREMIUM	Baltimore	35.99	35	8	44	21222	20	Solvent			
3258-RVB	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Polyurethane, Moisture Cured, Pigmented, Semi-Gloss (MPI Gloss Level 5)"	Interior	Rivera Decor Partners	Top Coat	MI	PREMIUM	Orchard Lake	16.99	33	22	142	48324	40	Solvent			
3274-XJX	STUTTENFURST	1874 LAWLOR CIRCLE	"Paste, Wood Filler"	Interior	S Plymouth Solubles Workshop	Filler	NY	CONTRACTOR	S Plymouth	3.99	25	19	37	13844	35	Solvent			
3298-YFL	LONG HAUL	1105 OLSON CIRCLE	"Primer, Zinc Rich, Moisture Cured"	Interior	Leal Decor Workshop	Primer	PA	CONTRACTOR	Lake Lynn	13.99	30	3	112	15439	5	Solvent			
3343-DJU	STUTTENFURST	1353 STEPHEN CIRCLE	"Epoxy, Gloss"	Exterior	Linden Consolidated	Top Coat	MI	CONTRACTOR	Linden	7.79	25	17	56	48451	25	Solvent			
3384-DML	BUSTERS	1105 OLSON CIRCLE	"Cleaner, Etching, for Galvanized Metal"	Interior	Leal Decor Workshop	Cleaner	PA	VALUE	Lake Lynn	4.59	29	3	78	15439	30	Water			
3393-AZQ?	STUTTENFURST	632 GLENN NB ON MULDOON RAMP	"Top-Coat for Multicolored Coating, Clear"	Exterior	Watkins Wholesale Warehouse	Top Coat	MA	CONTRACTOR	Westfield	35.99	25	14	132	1086	5	Water			
3488-GSE	LONG HAUL		"Latex, Exterior Semi-Gloss (MPI Gloss Level 5)"	Exterior		Top Coat	OH	CONTRACTOR	Rowsburg	10.99	30	15	127	44866	30	Water			
3503-FGI	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Primer, Bonding, Solvent Based"	Exterior	Rivera Decor Partners	Primer	MI	PREMIUM	Orchard Lake	5.59	33	22	87	48324	25	Solvent			
3516-AGJ	LE MODE	1353 STEPHEN CIRCLE	"Varnish, Exterior, Water Based, (Flat) MPI Gloss Level 1"	Exterior	Linden Consolidated	Top Coat	MI	PREMIUM	Linden	12.59	35	17	7	48451	15	Water			
3528-GBV	VALU-MATTE	1777 EASTWIND COURT	"Primer, Metal, Surface Tolerant"	Exterior	Pine Hill Chemical Warehouse	Primer	PA	VALUE	Pine Hill	7.49	31	6	34	17901	35	Solvent			
3561-LYU	STUTTENFURST	377 LONGHORN STREET	"Lacquer, Sanding Sealer, White"	Exterior	Warren Paints Consolidated	Sealer	VT	CONTRACTOR	Beebe Plain	3.29	25	2	70	5823	40	Solvent			
3585-MCJ	HOME COMFORT	1492 AUSTIN AVENUE	"Linseed Oil, Boiled"	Interior	Internation Solvents of Virginia	Cleaner	VA	CONTRACTOR	Cross Jct	12.99	27	21	129	22625	15	Solvent			
3594-BYW	HOME COMFORT	1492 AUSTIN AVENUE	"Primer Sealer, Alkyd, Interior"	Interior	Internation Solvents of Virginia	Primer	VA	CONTRACTOR	Cross Jct	7.39	27	21	80	22625	15	Solvent			
3610-RKR	HOME COMFORT	1492 AUSTIN AVENUE	"Traffic Marking Paint, Latex"	Exterior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	18.59	27	21	123	22625	10	Water			
3614-PTT	STUTTENFURST	382 FLORENCE CIRCLE	"Latex, Exterior (MPI Gloss Level 2)"	Exterior	Donahue Solubles of West Virginia	Top Coat	WV	CONTRACTOR	Huntington	45.99	25	9	21	25700	5	Water			
3694-XFJ	HOME COMFORT	1492 AUSTIN AVENUE	"Epoxy-Modified Latex, Interior, Semi-Gloss (MPI Gloss Level 5)"	Interior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	54.89	27	21	39	22625	25	Water			
3701-YAW	LONG HAUL	527 ELDERBERRY STREET	"Sealer, Solvent Based, for Concrete Floors"	Interior	Irvington Wholesale Workshop	Sealer	KY	CONTRACTOR	Irvington	20.59	30	20	109	40146	15	Solvent			
3716-IWN	OLDE TYME QUALITY	1625 BAY VIEW DRIVE	"Epoxy, Quick Set, Mason"	Exterior	Mt Blanchard Solvents Supplies	Sealer	OH	CONTRACTOR	Mt Blanchard	14.99	28	1	75	45867	20	Solvent			
3716-WZD	FORESTERS BEST	1839 DEMEURE PLACE	"Acrylic Coating, High Build, for Pavement Marking"	Interior	Lambert Decor of New Hampshire	Top Coat	NH	VALUE	Brookfield	36.99	23	10	132	3872	10	Solvent			
3734-CUQ	VALU-MATTE	1174 SPRUCEWOOD STREET	"Primer, Galvanized Metal, Cementitious"	Exterior	Ledbetter Chemical of Vermont	Primer	VT	VALUE	Brimstone Corners	14.89	31	18	119	5761	10	Solvent			
3754-MAK	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Floor Paint, Latex, Low Gloss "	Exterior	Rivera Decor Partners	Top Coat	MI	PREMIUM	Orchard Lake	21.99	33	22	70	48324	10	Water			
3933-NSU	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Latex, Recycled (Remanufactured), Interior (MPI Gloss Level 3)"	Interior	Rivera Decor Partners	Top Coat	MI	PREMIUM	Orchard Lake	41.99	33	22	105	48324	10	Water			
3943-HFA	HOME COMFORT	1492 AUSTIN AVENUE	Shellac	Exterior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	11.99	27	21	16	22625	35	Solvent			
3955-NWD	LONG HAUL		"Water Repellant, Clear (Not Paintable)"	Interior		Top Coat	OH	CONTRACTOR	Rowsburg	23.99	30	15	130	44866	15	Water			
4045-HUC	LONG HAUL	1404 SEWARD NB ON TUDOR RAMP	"Primer, Stain Blocking, Water Based"	Interior	Rivera Decor Partners	Primer	MI	CONTRACTOR	Orchard Lake	29.99	30	22	100	48324	10	Water			
4072-SWV	FORESTERS BEST	1874 LAWLOR CIRCLE	"Sealer, Solvent Based, for Concrete Floors"	Exterior	S Plymouth Solubles Workshop	Sealer	NY	VALUE	S Plymouth	20.59	23	19	86	13844	10	Solvent			
4132-QIN	OLDE TYME QUALITY	200 AERO AVENUE	"Primer, Oil for Exterior Wood"	Exterior	Boykin Chemical Workshop	Primer	VA	CONTRACTOR	Arlington	9.29	28	13	111	22218	20	Solvent			
4153-VMO	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Varnish, Polyurethane, Moisture Cured, Gloss (MPI Gloss Level 6)"	Interior	Rivera Decor Partners	Top Coat	MI	PREMIUM	Orchard Lake	17.79	33	22	30	48324	25	Solvent			
4200-FTI	LONG HAUL	1874 LAWLOR CIRCLE	"Varnish, Water Based, Clear, Satin"	Interior	S Plymouth Solubles Workshop	Top Coat	NY	CONTRACTOR	S Plymouth	14.59	30	19	7	13844	5	Water			
4241-UOF	HOME COMFORT	1492 AUSTIN AVENUE	"Varnish, Polyurethane, Moisture Cured, Flat (MPI Gloss Level 1)"	Exterior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	13.59	27	21	49	22625	40	Solvent			
4260-FGB	LE MODE	1839 DEMEURE PLACE	"Light Industrial Coating, Interior, Water Based ('eggshell-like' - MPI Gloss Level 3) "	Interior	Lambert Decor of New Hampshire	Top Coat	NH	PREMIUM	Brookfield	15.59	35	10	97	3872	40	Water			
4346-GCP	HOME COMFORT	1492 AUSTIN AVENUE	"Primer Sealer, Interior, Institutional Low Odor/VOC"	Interior	Internation Solvents of Virginia	Primer	VA	CONTRACTOR	Cross Jct	18.59	27	21	68	22625	5	Water			
4431-LGU	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Stain, for Exterior Wood Decks"	Interior	Rivera Decor Partners	Top Coat	MI	PREMIUM	Orchard Lake	11.49	33	22	122	48324	20	Solvent			
4465-QHD	BUSTERS	1625 BAY VIEW DRIVE	Multicolor Coating	Interior	Mt Blanchard Solvents Supplies	Top Coat	OH	VALUE	Mt Blanchard	23.59	29	1	3	45867	5	Water			
4481-SGY	HOME COMFORT	1492 AUSTIN AVENUE	"Primer, Galvanized, Non-Cementitious"	Interior	Internation Solvents of Virginia	Primer	VA	CONTRACTOR	Cross Jct	15.69	27	21	90	22625	10	Solvent			
4491-GNC	OLDE TYME QUALITY	1625 BAY VIEW DRIVE	"Alkyd, Exterior, Semi-Gloss (MPI Gloss Level 5)"	Exterior	Mt Blanchard Solvents Supplies	Top Coat	OH	CONTRACTOR	Mt Blanchard	21.99	28	1	132	45867	25	Solvent			
4518-GHU	VALU-MATTE	1618 CARIN PLACE	"Elastomeric, Pigmented, Exterior, Water Based, Flat"	Exterior	National Solubles Partners	Top Coat	NC	VALUE	Newport	21.99	31	16	36	28570	35	Water			
4583-VCR	OLDE TYME QUALITY	1286 RICHARD EVELYN BYRD STREET	"Latex, Interior, High Performance Architectural, Semi-Gloss (MPI Gloss Level 5)"	Interior	Kenny Paints Workshop	Top Coat	MI	CONTRACTOR	Grand Ledge	34.49	28	7	42	48837	30	Water			
4626-LJU	OLDE TYME QUALITY	1105 OLSON CIRCLE	"Block Filler, Epoxy"	Interior	Leal Decor Workshop	Filler	PA	CONTRACTOR	Lake Lynn	7.79	28	3	82	15439	35	Solvent			
4667-JLN	LE MODE	1185 BIGLERVILLE CIRCLE	Danish Oil	Interior	National Wholesale Consolidated	Cleaner	VT	PREMIUM	Sweek Hollow	3.49	35	5	79	5483	15	Solvent			
4784-SLU	LONG HAUL	527 ELDERBERRY STREET	"Lacquer, Clear, Flat"	Interior	Irvington Wholesale Workshop	Top Coat	KY	CONTRACTOR	Irvington	14.99	30	20	14	40146	15	Solvent			
4812-CMJ	HOME COMFORT	1492 AUSTIN AVENUE	"Primer, Alkali Resistant, Water Based"	Interior	Internation Solvents of Virginia	Primer	VA	CONTRACTOR	Cross Jct	9.99	27	21	128	22625	10	Water			
4812-VNN	HOME COMFORT	1492 AUSTIN AVENUE	"Varnish, Exterior, Water Based, (Velvet-Like) MPI Gloss Level 2"	Exterior	Internation Solvents of Virginia	Top Coat	VA	CONTRACTOR	Cross Jct	12.99	27	21	42	22625	40	Water			
4846-BHT	BINDER PRIME	1404 SEWARD NB ON TUDOR RAMP	"Preservative, for Exterior Wood"	Exterior	Rivera Decor Partners	Top Coat	MI	PREMIUM	Orchard Lake	4.49	33	22	?88	48324	40	Solvent			
4879-AMS	VALU-MATTE	632 GLENN NB ON MULDOON RAMP	"Latex, Recycled (Remanufactured), Interior (MPI Gloss Level 1)"	Interior	Watkins Wholesale Warehouse	Top Coat	MA	VALUE	Westfield	41.99	31	14	107	1086	20	Water			
4900-YSQ	OLDE TYME QUALITY	377 LONGHORN STREET	"Cleaner, Etching, for Galvanized Metal"	Exterior	Warren Paints Consolidated	Cleaner	VT	CONTRACTOR	Beebe Plain	4.59	28	2	121	5823	20	Water			
4912-YXS	LE MODE	1777 EASTWIND COURT	"Varnish, Exterior, Water Based, (Eggshell-like) MPI Gloss Level 3"	Exterior	Pine Hill Chemical Warehouse	Top Coat	PA	PREMIUM	Pine Hill	12.99	35	6	123	17901	30	Water			
4949-VFI	FORESTERS BEST	1286 RICHARD EVELYN BYRD STREET	"Undercoat, Enamel, Interior"	Interior	Kenny Paints Workshop	Primer	MI	VALUE	Grand Ledge	8.49	23	7	20	48837	20	Solvent			
